DATABASE,,,ProgressCheck,,,,
,,,h5p.json,content/content.json,Input,Assets,Format
Lesson.Monologue.resources[0].questions[4].options[1].text,,,,questions.4.params.interactiveVideo.assets.interactions.0.action.params.choices.2.answers.1,,,
Lesson.Monologue.resources[0].questions[4].options[2].text,,,,questions.4.params.interactiveVideo.assets.interactions.0.action.params.choices.2.answers.2,,,
,,,,questions.4.params.interactiveVideo.assets.endscreens.0.time,,,Ultimo segundo del video
Lesson.Conversation.resources[0].mp3,,,,questions.1.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].mp3,,,,questions.2.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].mp3,,,,questions.3.params.media.params.files.0.path,,,
Lesson.Conversation.resources[0].questions[0].question,,,,questions.1.params.question,,,
Lesson.Conversation.resources[0].questions[0].options[0].text,,,,questions.1.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[0].options[1].text,,,,questions.1.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[0].options[2].text,,,,questions.1.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[0].options[3].text,,,,questions.1.params.answers.3.text,,,
Lesson.Conversation.resources[0].questions[1].question,,,,questions.2.params.question,,,
Lesson.Conversation.resources[0].questions[1].options[0].text,,,,questions.2.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[1].options[1].text,,,,questions.2.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[1].options[2].text,,,,questions.2.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[1].options[3].text,,,,questions.2.params.answers.3.text,,,
Lesson.Conversation.resources[0].questions[2].question,,,,questions.3.params.question,,,
Lesson.Conversation.resources[0].questions[2].options[0].text,,,,questions.3.params.answers.0.text,,,
Lesson.Conversation.resources[0].questions[2].options[1].text,,,,questions.3.params.answers.1.text,,,
Lesson.Conversation.resources[0].questions[2].options[2].text,,,,questions.3.params.answers.2.text,,,
Lesson.Conversation.resources[0].questions[2].options[3].text,,,,questions.3.params.answers.3.text,,,
Lesson.Conversation.resources[1].name,,,,questions.6.params.interactiveVideo.video.startScreenOptions.title,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.title,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.extraTitle,,,
Lesson.Conversation.resources[1].mp4,,,,questions.6.params.interactiveVideo.video.files.0.path,,,
Lesson.Conversation.resources[1].subtitles,,,,questions.6.params.interactiveVideo.video.textTracks.0.track.path,,,
Lesson.Conversation.resources[1].questions[0].time,,,,questions.6.params.interactiveVideo.assets.interactions.1.duration.from,,,
