DATABASE,,,LearnAndDiscover,,,
Lesson.Listening.glossary[9].picture,,,,presentation.slides.2.elements.0.action.params.dialogs.9.image.path,,images/image-5cd0724d1a6d6.png
Lesson.Listening.glossary[9].mp3,,,,presentation.slides.2.elements.0.action.params.dialogs.9.audio.path,,https://s3.us-east-2.amazonaws.com/coreproductido/Greeting.mp3
Lesson.Writing.can_do_statements[0].en[0],,Se debe retornar el texto entre el primer par de <li>,,presentation.slides.0.elements.5.action.params.text,,
Lesson.Writing.context.mp4,,,,presentation.slides.3.elements.0.action.params.sources.0.path,,videos/sources-5cd2f4066a065.mp4
Lesson.Writing.context.poster,,,,presentation.slides.3.elements.0.action.params.visuals.poster.path,,images/poster-5cdacd5aa01da.png
Lesson.Writing.context.subtitles,,,,presentation.slides.3.elements.0.action.params.a11y.0.track.path,,files/track-5cd2f41154bb3.vtt
Lesson.Writing.glossary[0].term,,,,presentation.slides.4.elements.0.action.params.dialogs.0.answer,,
Lesson.Writing.glossary[0].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.0.text,,
Lesson.Writing.glossary[0].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.0.image.path,,
Lesson.Writing.glossary[0].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.0.audio.path,,
Lesson.Writing.glossary[1].term,,,,presentation.slides.4.elements.0.action.params.dialogs.1.answer,,
Lesson.Writing.glossary[1].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.1.text,,
Lesson.Writing.glossary[1].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.1.image.path,,
Lesson.Writing.glossary[1].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.1.audio.path,,
Lesson.Writing.glossary[2].term,,,,presentation.slides.4.elements.0.action.params.dialogs.2.answer,,
Lesson.Writing.glossary[2].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.2.text,,
Lesson.Writing.glossary[2].picture,,,,presentation.slides.4.elements.0.action.params.dialogs.2.image.path,,
Lesson.Writing.glossary[2].mp3,,,,presentation.slides.4.elements.0.action.params.dialogs.2.audio.path,,
Lesson.Writing.glossary[3].term,,,,presentation.slides.4.elements.0.action.params.dialogs.3.answer,,
Lesson.Writing.glossary[3].definition,,"Se debe tomar unicamente el texto entre ""DEF: "" y ""SPA:""",,presentation.slides.4.elements.0.action.params.dialogs.3.text,,
